score,lateness,num_posts,avg_post_length,category
4.0,-8,1,2617.0,type1
4.0,0,3,1730.0,type1
0,-75,2,1696.5,type1
4.0,-6,2,764.0,type1
4.0,-30,4,89.5,type1
4.0,-3,4,1451.5,type1
4.5,-4,2,1933.5,type1
5.0,-3,4,1103.5,type1
4.0,-3,4,931.5,type1
4.0,-2,1,1905.0,type1
5.0,-16,4,782.25,type1
0,-1,2,2194.5,type1
0,-15,2,1279.5,type1
3.3,-28,4,568.0,type1
0,-123,2,745.5,type1
3.4,-1,2,895.5,type1
4.0,-54,4,1032.0,type1
5.0,-79,5,769.0,type1
5.0,-34,8,810.75,type1
5.0,-15,7,732.428571429,type1
5.0,-36,3,1291.0,type1
5.0,-36,5,1012.2,type1
4.5,-9,1,1108.0,type1
4.0,-5,1,1471.0,type1
4.0,-7,2,637.5,type1
4.0,0,1,741.0,type1
4.0,0,1,1377.0,type1
4.0,-65,2,597.5,type1
4.0,-8,2,530.0,type1
4.0,-6,1,1192.0,type1
4.5,-85,6,254.666666667,type1
3.2,-1,1,1196.0,type1
4.0,-2,2,1501.5,type1
4.0,-1,1,794.0,type1
0.0,0,1,399.0,type1
3.5,-2,1,3386.0,type1
4.0,0,1,3891.0,type1
0,0,0,0.0,type1
4.0,-7,2,1414.0,type1
3.5,-7,1,5682.0,type1
0,0,2,1905.0,type1
4.0,0,2,1019.5,type1
4.0,0,2,186.5,type1
4.0,0,3,1425.0,type1
4.5,0,3,1168.66666667,type1
5.0,-1,2,3213.0,type1
4.5,0,3,1907.66666667,type1
5.0,0,3,1222.0,type1
4.0,-17,3,1117.33333333,type1
0,0,4,1417.0,type1
0,0,1,2743.0,type1
3.5,0,3,1335.0,type1
0,0,2,1951.0,type1
3.2,-1,2,1642.0,type1
4.0,0,3,1103.66666667,type1
5.0,0,3,1716.66666667,type1
4.0,0,2,1866.0,type1
4.0,-2,3,1238.66666667,type1
4.0,0,2,2494.0,type1
5.0,0,3,1198.66666667,type1
4.0,-8,1,1418.0,type1
4.0,-3,1,2673.0,type1
4.0,-11,2,2303.0,type1
4.0,-1,1,964.0,type1
4.0,0,1,1613.0,type1
5.0,-18,6,770.166666667,type1
4.0,-1,3,1161.33333333,type1
4.0,-1,1,1022.0,type1
4.0,-1,1,1038.0,type1
3.0,0,1,1049.0,type1
4.0,0,1,962.0,type1
4.0,0,1,732.0,type1
0,0,0,0.0,type1
5.0,-6,5,1056.8,type1
4.0,-27,1,2939.0,type1
4.0,-2,1,2831.0,type1
4.0,-6,1,3513.0,type1
3.0,-32,1,1378.0,type1
0,-2,1,705.0,type1
4.0,-27,2,303.0,type1
4.0,-26,1,194.0,type1
4.0,-2,3,1187.33333333,type1
4.0,-2,2,1328.0,type1
5.0,-3,3,1504.33333333,type1
4.0,-3,2,1042.0,type1
4.0,-2,3,917.666666667,type1
4.0,-17,2,441.0,type1
0,-5,3,1150.0,type1
0,-54,1,2147.0,type1
3.1,-3,2,1366.5,type1
0,-31,2,839.5,type1
3.0,-105,1,1818.0,type1
4.0,-4,2,1497.0,type1
4.0,-2,2,845.0,type1
4.0,-3,2,642.5,type1
4.0,-8,3,507.0,type1
4.0,-2,2,1236.0,type1
3.5,-3,2,1142.5,type1
3.5,-27,1,505.0,type1
4.0,-26,1,400.0,type1
4.0,-26,1,399.0,type1
4.0,-26,1,623.0,type1
4.0,-51,1,1030.0,type1
4.0,-15,1,809.0,type1
3.0,-3,1,500.0,type1
3.5,-30,1,698.0,type1
4.0,-27,1,603.0,type1
3.0,-7,1,408.0,type1
