score,lateness,num_posts,avg_post_length,category
40,-36,4,439.25,type1
50,-3,4,557.5,type1
50,-9,8,581.75,type1
50,-9,2,1507.5,type1
50,-23,3,637.0,type1
50,-47,3,534.333333333,type1
40,-6,5,425.0,type1
50,-28,2,256.5,type1
50,-8,3,551.333333333,type1
50,-12,1,1555.0,type1
50,-9,1,1022.0,type1
50,-27,3,673.0,type1
50,-17,1,1419.0,type1
50,-20,1,1685.0,type1
50,-15,2,758.0,type1
40,-11,1,1418.0,type1
50,-36,1,1762.0,type1
50,-16,2,815.0,type1
50,-27,2,741.0,type1
50,-2,4,492.75,type1
50,-43,5,320.0,type1
40,32,4,450.5,type1
40,-26,5,336.0,type1
40,-19,4,466.5,type1
50,-41,5,748.2,type1
50,-48,8,456.125,type1
40,-12,3,537.0,type1
50,29,4,390.75,type1
50,-29,3,518.0,type1
50,65,4,296.75,type1
40,-12,5,372.2,type1
30,44,2,935.5,type1
30,-11,2,839.0,type1
50,-14,2,838.5,type1
50,-10,3,500.333333333,type1
50,-41,5,363.2,type1
50,-40,7,308.285714286,type1
30,-38,2,419.0,type1
30,-9,3,447.666666667,type1
50,-11,4,379.0,type1
40,-20,2,531.0,type1
30,-48,1,1965.0,type1
30,57,2,822.5,type1
40,-14,1,1667.0,type1
40,-27,1,1458.0,type1
50,-28,4,392.0,type1
50,-43,2,904.0,type1
40,34,2,947.0,type1
30,-26,4,569.25,type1
40,-26,4,839.75,type1
30,-12,5,356.6,type1
30,-20,7,320.714285714,type1
50,-14,4,614.75,type1
30,48,1,993.0,type1
30,-34,3,410.0,type1
0,0,0,0.0,type1
40,-22,3,426.666666667,type1
40,-7,5,549.4,type1
50,-31,6,279.833333333,type1
40,-48,1,603.0,type1
0,0,0,0.0,type1
40,-2,7,429.428571429,type1
50,-21,4,658.25,type1
0,0,0,0.0,type1
40,-21,1,1106.0,type1
0,0,0,0.0,type1
40,-15,2,698.5,type1
50,18,3,250.0,type1
40,-43,2,724.5,type1
0,0,0,0.0,type1
50,-4,1,1082.0,type1
